-0.051456,0.1746,0.10853,0.1242,0.21343,-0.14941,-0.12692,-0.22851,-0.083322,-0.14936,-0.22679,-0.012078,-0.052943,0.031876,-0.023741,0.11885
0.010335,0.16435,0.36106,-0.10272,0.1496,-0.088453,-0.44982,0.18593,-0.017067,0.25856,0.11569,-0.13736,0.04345,0.044704,0.15372,-0.14844
0.010467,-0.15109,-0.0067285,0.07688,-0.13245,-0.073037,-0.10866,0.2332,0.2216,0.25925,0.20723,0.22917,-0.28881,-0.083954,0.13544,-0.10109
0.0086399,-0.057605,-0.105,-0.16434,0.19651,-0.088071,0.21343,-0.021054,0.06673,0.023575,-0.25315,-0.080571,0.0026541,-0.056327,0.12692,-0.040523
-0.046909,0.10475,0.046047,0.13107,-0.089223,-0.073849,0.09194,0.17958,-0.17905,-0.10154,0.20954,0.047741,-0.022661,0.012747,0.051411,0.066002
-0.10427,0.070133,0.12333,-0.11998,-0.1217,0.084273,-0.094456,-0.21433,-0.054323,0.14255,0.070118,-0.14349,-0.018948,0.15572,-0.1262,0.05188
-0.1179,-0.16129,0.017751,-0.0029123,0.09146,0.082452,0.072849,0.065241,0.1145,0.04778,0.086366,0.097518,-0.10887,-0.10943,0.0079001,-0.10714
-0.097414,0.064758,0.05186,0.069747,0.038708,0.087299,-0.0076537,0.036188,-0.041833,-0.02061,0.067441,0.0663,-0.068148,0.081013,0.044057,0.049737
0.055944,-0.0001146,0.0025013,0.13525,0.095547,-0.048048,-0.27247,-0.037917,-0.094335,0.17996,0.1967,0.18017,0.12615,0.075689,0.19072,0.10826
-0.012118,0.23715,0.21679,-0.15444,0.15415,-0.21158,0.12823,-0.16741,-0.1385,0.37789,0.070242,-0.18831,0.00030654,-0.27519,-0.13528,0.21468
0.050041,-0.15922,-0.063892,-0.1515,-0.28875,-0.28665,-0.32827,-0.06889,0.28792,-0.085786,0.22096,-0.056639,0.037514,0.017708,0.038544,0.050759
